iter	R2	RMSE
0	0.006597366467	0.2210780258
1	0.01290738931	0.2203747713
2	0.0187071476	0.2197264008
3	0.02439169145	0.2190890485
4	0.02933616225	0.2185331618
5	0.03404396901	0.2180025649
6	0.03865721582	0.2174813697
7	0.04386026592	0.2168920369
8	0.04894995775	0.2163139903
9	0.0538524959	0.2157557349
10	0.05826552197	0.2152519823
11	0.06287803831	0.2147241944
12	0.06644802408	0.214314806
13	0.07092956198	0.2137997756
14	0.07434932046	0.2134059316
15	0.07782329234	0.2130050983
16	0.0806959938	0.2126730701
17	0.0839276345	0.2122989349
18	0.08683086392	0.2119622576
19	0.09031202931	0.2115578526
20	0.09397084566	0.2111319751
21	0.09688202875	0.2107925057
22	0.09997265163	0.2104315128
23	0.1030076233	0.2100764163
24	0.1060594406	0.2097187427
25	0.108816041	0.2093951433
26	0.111558748	0.2090726779
27	0.1148160982	0.2086890575
28	0.1172328099	0.2084039835
29	0.1200068229	0.2080762808
30	0.1223702273	0.2077966769
31	0.1251891074	0.207462695
32	0.1279067968	0.2071401923
33	0.1299640875	0.2068957235
34	0.1318278944	0.2066739967
35	0.1339452034	0.2064218233
36	0.13606006	0.2061696341
37	0.1377273486	0.2059705981
38	0.1393066579	0.2057818873
39	0.1410015754	0.2055791698
40	0.1427319331	0.2053720071
41	0.144367211	0.2051760354
42	0.1459525119	0.204985874
43	0.1476182332	0.2047858758
44	0.1491556373	0.2046011107
45	0.150731857	0.2044115074
46	0.1527079624	0.2041735532
47	0.1549620274	0.2039017892
48	0.1561364307	0.2037600522
49	0.1573404747	0.2036146356
50	0.1585410989	0.2034695285
51	0.1597347478	0.2033251617
52	0.1616942091	0.2030879507
53	0.1630998959	0.2029176084
54	0.1645787368	0.2027382468
55	0.1658803886	0.2025802442
56	0.1673809991	0.2023979377
57	0.1685249919	0.2022588456
58	0.1695087245	0.2021391622
59	0.170670656	0.2019977074
60	0.1716231078	0.2018816809
61	0.17304527	0.2017083106
62	0.174023162	0.2015890131
63	0.175377141	0.2014237184
64	0.1762523431	0.2013168008
65	0.1771952146	0.201201553
66	0.1782588837	0.2010714608
67	0.1797056314	0.2008943808
68	0.1807024862	0.2007722762
69	0.1814226267	0.2006840201
70	0.1825984839	0.2005398305
71	0.1832861965	0.2004554517
72	0.1841687523	0.2003471145
73	0.1854752604	0.2001866279
74	0.1859984088	0.2001223302
75	0.186967852	0.2000031259
76	0.1878303718	0.1998970093
77	0.1888309674	0.1997738344
78	0.1896892842	0.1996681138
79	0.1910765738	0.19949712
80	0.1920362506	0.1993787469
81	0.1926638468	0.1993012969
82	0.1933762328	0.1992133466
83	0.1939606865	0.1991411618
84	0.1944869769	0.1990761381
85	0.1952961082	0.1989761278
86	0.1957523204	0.1989197169
87	0.1963643637	0.1988440122
88	0.1970442001	0.1987598883
89	0.1978207364	0.1986637549
90	0.1986884869	0.1985562745
91	0.199760549	0.1984234074
92	0.2004253619	0.1983409684
93	0.20087135	0.1982856452
94	0.2019806213	0.1981479771
95	0.2023346157	0.1981040239
96	0.2029429032	0.1980284739
97	0.20387794	0.1979122851
98	0.2045134512	0.1978332768
99	0.2052362826	0.1977433742
100	0.2056669665	0.1976897882
101	0.2062946864	0.1976116608
102	0.2069290059	0.1975326806
103	0.2075604069	0.1974540324
104	0.2083419551	0.1973566383
105	0.2089484719	0.1972810229
106	0.2092113473	0.1972482408
107	0.209944425	0.197156793
108	0.210398015	0.1971001886
109	0.210791489	0.1970510731
110	0.2113055919	0.1969868815
111	0.2117483443	0.1969315821
112	0.2123297012	0.1968589476
113	0.2127909585	0.1968012991
114	0.2132381122	0.1967453972
115	0.2137640369	0.1966796273
116	0.2142320664	0.196621079
117	0.214646104	0.1965692703
118	0.2148827826	0.1965396485
119	0.2151353016	0.1965080392
120	0.2156855167	0.1964391479
121	0.2160503036	0.1963934604
122	0.2163971892	0.196350005
123	0.216709565	0.1963108646
124	0.2172983064	0.1962370746
125	0.2176501581	0.1961929619
126	0.2180555899	0.1961421195
127	0.2183904545	0.1961001164
128	0.2188799589	0.1960387003
129	0.2193570251	0.1959788262
130	0.2197053019	0.1959351042
131	0.2199982233	0.1958983239
132	0.2203338764	0.1958561695
133	0.2205350333	0.1958309021
134	0.2208790936	0.1957876768
135	0.2212564575	0.1957402566
136	0.2215133506	0.1957079684
137	0.2218409619	0.1956667841
138	0.2223427921	0.1956036818
139	0.2227958084	0.1955467
140	0.2231656855	0.1955001634
141	0.2234648923	0.1954625102
142	0.2238397255	0.1954153297
143	0.2240492353	0.1953889535
144	0.2243682556	0.1953487838
145	0.2246578221	0.1953123157
146	0.2248688578	0.1952857334
147	0.2253441805	0.1952258481
148	0.2256182016	0.1951913161
149	0.2259254934	0.1951525842
150	0.2261415968	0.1951253413
151	0.2265970529	0.1950679121
152	0.2268635109	0.1950343061
153	0.2271769663	0.1949947654
154	0.2274279535	0.1949630989
155	0.2277009511	0.1949286496
156	0.2280750546	0.1948814319
157	0.2283775396	0.1948432453
158	0.22862723	0.1948117179
159	0.2288899338	0.1947785419
160	0.2294093535	0.1947129295
161	0.2296424209	0.1946834815
162	0.2300080718	0.1946372727
163	0.2302740258	0.1946036561
164	0.2304106208	0.1945863882
165	0.2305933409	0.1945632869
166	0.2309387816	0.1945196055
167	0.2311341005	0.1944949028
168	0.2314140553	0.1944594904
169	0.2317015648	0.1944231157
170	0.2319288611	0.1943943541
171	0.2322748615	0.1943505638
172	0.2325468217	0.1943161373
173	0.2327857426	0.194285888
174	0.2329536126	0.1942646315
175	0.233349136	0.1942145393
176	0.2336107059	0.1941814049
177	0.23392078	0.1941421189
178	0.2341780495	0.1941095172
179	0.2343342655	0.1940897185
180	0.2346029794	0.1940556571
181	0.2350061607	0.1940045399
182	0.2351535335	0.193985852
183	0.235248741	0.193973778
184	0.2355559571	0.1939348125
185	0.2357727899	0.1939073059
186	0.2360088596	0.1938773546
187	0.2362756186	0.1938435041
188	0.2364274134	0.1938242393
189	0.2365944003	0.1938030443
190	0.2368436112	0.1937714086
191	0.2372043715	0.1937256033
192	0.2373220943	0.1937106538
193	0.2375440468	0.1936824651
194	0.2377036585	0.1936621914
195	0.2378900712	0.1936385108
196	0.238009808	0.1936232987
197	0.2382246658	0.1935959989
198	0.238351574	0.1935798721
199	0.2385514695	0.1935544678
200	0.2386812209	0.1935379762
201	0.2390876228	0.1934863128
202	0.2393341041	0.1934549724
203	0.239529362	0.1934301415
204	0.2397267725	0.1934050336
205	0.2399182526	0.1933806768
206	0.2401034366	0.1933571181
207	0.2403715145	0.1933230086
208	0.2405289085	0.1933029794
209	0.2408574138	0.1932611688
210	0.2411190218	0.1932278661
211	0.2413545757	0.1931978751
212	0.2414819841	0.1931816514
213	0.2416680516	0.1931579559
214	0.2417409632	0.1931486698
215	0.242079433	0.1931055564
216	0.2423073936	0.1930765139
217	0.2425457655	0.1930461404
218	0.2426888329	0.1930279083
219	0.2428011367	0.1930135955
220	0.2429045442	0.1930004155
221	0.2429969251	0.1929886402
222	0.2431396953	0.1929704405
223	0.2433985743	0.1929374356
224	0.2434969523	0.1929248917
225	0.2437761798	0.1928892839
