iter	Passed	Remaining
0	17	21260
1	44	26687
2	63	25418
3	79	23731
4	102	24559
5	113	22603
6	128	21954
7	139	20723
8	149	19816
9	157	18727
10	164	17777
11	172	17084
12	185	16928
13	194	16491
14	206	16341
15	223	16571
16	236	16465
17	249	16403
18	262	16335
19	277	16372
20	293	16453
21	307	16476
22	316	16199
23	324	15882
24	333	15656
25	341	15427
26	348	15134
27	355	14875
28	367	14833
29	379	14785
30	386	14580
31	393	14372
32	401	14198
33	413	14171
34	419	13957
35	426	13791
36	436	13719
37	444	13601
38	453	13507
39	461	13380
40	470	13290
41	478	13206
42	487	13105
43	494	13002
44	505	12966
45	520	13054
46	529	12987
47	538	12918
48	550	12931
49	564	12982
50	575	12957
51	588	13001
52	603	13068
53	614	13043
54	627	13062
55	634	12961
56	645	12948
57	656	12923
58	663	12827
59	672	12772
60	681	12729
61	688	12631
62	696	12578
63	704	12513
64	712	12437
65	719	12369
66	726	12289
67	735	12241
68	745	12217
69	752	12145
70	760	12099
71	768	12035
72	776	11985
73	783	11923
74	787	11809
75	795	11758
76	803	11716
77	811	11668
78	819	11623
79	828	11598
80	835	11545
81	845	11524
82	856	11525
83	864	11486
84	875	11486
85	886	11483
86	899	11511
87	908	11478
88	920	11492
89	929	11460
90	939	11448
91	948	11428
92	959	11424
93	967	11385
94	975	11342
95	982	11297
96	990	11260
97	996	11207
98	1002	11152
99	1009	11109
100	1017	11071
101	1024	11029
102	1031	10989
103	1040	10963
104	1049	10943
105	1060	10946
106	1068	10911
107	1075	10878
108	1086	10871
109	1096	10862
110	1105	10846
111	1114	10823
112	1126	10831
113	1133	10802
114	1141	10766
115	1148	10731
116	1158	10723
117	1166	10697
118	1175	10681
119	1185	10668
120	1194	10652
121	1202	10623
122	1213	10625
123	1220	10590
124	1233	10603
125	1244	10607
126	1259	10639
127	1270	10641
128	1282	10650
129	1294	10656
130	1305	10652
131	1312	10620
132	1319	10584
133	1326	10551
134	1333	10519
135	1340	10490
136	1349	10471
137	1356	10436
138	1364	10413
139	1371	10385
140	1379	10362
141	1385	10325
142	1392	10295
143	1399	10260
144	1406	10236
145	1413	10201
146	1420	10172
147	1426	10140
148	1433	10112
149	1441	10088
150	1446	10051
151	1454	10025
152	1461	10000
153	1468	9977
154	1475	9950
