iter	R2	RMSE
0	0.02801138977	7384.091547
1	0.05555609651	7278.712543
2	0.08203610442	7175.948027
3	0.1081688032	7073.067693
4	0.1319309661	6978.203279
5	0.1554855652	6882.877228
6	0.1775331826	6792.437908
7	0.2000420228	6698.847193
8	0.2206283804	6612.09033
9	0.2407910421	6526.001154
10	0.2598310307	6443.649682
11	0.2783931264	6362.339139
12	0.2965496825	6281.786899
13	0.314176967	6202.582046
14	0.3302341975	6129.541207
15	0.3462955665	6055.600269
16	0.3622254198	5981.361999
17	0.3772439958	5910.516664
18	0.3921091823	5839.548585
19	0.4065382402	5769.827834
20	0.4202206428	5702.927607
21	0.4333417692	5638.02614
22	0.4459403458	5574.998409
23	0.4573759946	5517.16517
24	0.4686770279	5459.410882
25	0.4796504033	5402.740341
26	0.4900479393	5348.489653
27	0.5009353227	5291.086977
28	0.5114646454	5234.973453
29	0.5215151264	5180.8449
30	0.5309946148	5129.268094
31	0.5405276352	5076.871629
32	0.5490742473	5029.432732
33	0.5568813172	4985.704276
34	0.5650579141	4939.491028
35	0.5724360421	4897.416372
36	0.5801978095	4852.760239
37	0.5875565324	4810.040124
38	0.5945788478	4768.916147
39	0.6015505715	4727.734599
40	0.6084968182	4686.343651
41	0.6150327441	4647.061072
42	0.6215375817	4607.632835
43	0.6275090326	4571.138261
44	0.633462636	4534.460369
45	0.6392310941	4498.637862
46	0.6447273854	4464.238109
47	0.6499242535	4431.466762
48	0.6555309599	4395.837017
49	0.6604178792	4364.544166
50	0.6652248152	4333.543034
51	0.6698837543	4303.283251
52	0.6744231914	4273.593551
53	0.6790045545	4243.41903
54	0.6832036819	4215.572349
55	0.6873530996	4187.873436
56	0.6912908805	4161.41678
57	0.6953006865	4134.302236
58	0.6992495717	4107.424712
59	0.7026967731	4083.817219
60	0.7059825863	4061.187221
61	0.7089018645	4040.975304
62	0.7119818203	4019.540742
63	0.7146562972	4000.834907
64	0.7177344379	3979.196922
65	0.7206568258	3958.544362
66	0.7231270992	3941.002496
67	0.7261008786	3919.781005
68	0.7287518469	3900.765827
69	0.7310603867	3884.131032
70	0.7334946076	3866.51309
71	0.7361346653	3847.314185
72	0.7384081438	3830.703991
73	0.7404707092	3815.572187
74	0.7427099643	3799.075881
75	0.7447060576	3784.310297
76	0.7467707066	3768.976729
77	0.7489746114	3752.539812
78	0.7511455223	3736.278271
79	0.753005322	3722.290657
80	0.7546999623	3709.499287
81	0.7563363541	3697.105583
82	0.7579946851	3684.503187
83	0.7596799453	3671.651828
84	0.7614673026	3657.972566
85	0.7630731809	3645.638453
86	0.7646044815	3633.838146
87	0.7659008194	3623.818445
88	0.7672058889	3613.703193
89	0.7685306399	3603.406353
90	0.7698174578	3593.376105
91	0.7709140955	3584.806089
92	0.7720342008	3576.031475
93	0.7732295851	3566.643334
94	0.7744202262	3557.267813
95	0.7756537311	3547.528638
96	0.776743159	3538.904737
97	0.7780802324	3528.291666
98	0.7790880814	3520.270678
99	0.7803591568	3510.128662
100	0.7811934777	3503.455586
101	0.782122755	3496.008034
102	0.7830610892	3488.471764
103	0.7841642788	3479.590575
104	0.7850004504	3472.843874
105	0.785654289	3467.559192
106	0.7863944397	3461.567153
107	0.7871469512	3455.464392
108	0.7879060489	3449.297278
109	0.7885818354	3443.797715
110	0.7892387025	3438.443688
111	0.789918988	3432.889979
112	0.7907109268	3426.413416
113	0.7913908144	3420.843438
114	0.7922514366	3413.77976
115	0.7930948653	3406.842989
116	0.7937768422	3401.223733
117	0.794411517	3395.985877
118	0.7949917072	3391.190594
119	0.7955457369	3386.605191
120	0.7962636518	3380.654147
121	0.7969034383	3375.341896
122	0.7973664114	3371.492534
123	0.797718953	3368.558398
124	0.798333485	3363.437648
125	0.798905218	3358.666521
126	0.7992815646	3355.522196
127	0.7996898777	3352.10746
128	0.8001300971	3348.421988
129	0.8006892792	3343.734717
130	0.8013004061	3338.604498
131	0.8016701691	3335.496623
132	0.8020680526	3332.149155
133	0.8025699626	3327.921691
134	0.8030449884	3323.915712
135	0.8033394952	3321.429658
136	0.8037239988	3318.181098
137	0.8042774287	3313.49974
138	0.8045710689	3311.013205
139	0.8049139153	3308.107628
140	0.8053670723	3304.263265
141	0.8057631922	3300.899109
142	0.8060802297	3298.204109
143	0.8064068813	3295.425079
144	0.8067216395	3292.745015
145	0.80709981	3289.522128
146	0.8074831937	3286.251585
147	0.807877605	3282.883569
148	0.8082765953	3279.472933
149	0.808638761	3276.374005
150	0.8088757847	3274.344287
151	0.809255515	3271.089895
152	0.8095515905	3268.5502
153	0.8097413969	3266.921028
154	0.8100718693	3264.082532
155	0.8103663846	3261.550797
156	0.810670854	3258.931428
157	0.8109017366	3256.943725
158	0.8111502638	3254.802761
159	0.8114587804	3252.14305
160	0.8117168642	3249.916447
161	0.8120423859	3247.105851
162	0.8123031551	3244.852579
163	0.8126092463	3242.205688
164	0.8129195068	3239.520537
165	0.8131781692	3237.28024
166	0.8134641363	3234.801647
167	0.8137330034	3232.469534
168	0.8139691904	3230.419495
169	0.8142783726	3227.733908
170	0.8144920484	3225.876593
171	0.8147510175	3223.624146
172	0.8149761837	3221.664426
173	0.815183234	3219.861325
174	0.8153749255	3218.191076
175	0.8156122059	3216.1224
176	0.815834042	3214.187166
177	0.816098407	3211.8794
178	0.8163369951	3209.795229
179	0.8165940224	3207.548468
180	0.8168240673	3205.536233
181	0.8169646773	3204.305676
182	0.8171329505	3202.832401
183	0.8173210192	3201.185008
184	0.8174824723	3199.77008
185	0.8176365205	3198.419462
186	0.8177727821	3197.224312
187	0.8179218654	3195.916193
188	0.8180701593	3194.614467
189	0.8183142632	3192.470565
190	0.818467213	3191.126512
191	0.8186686402	3189.355598
192	0.8188844048	3187.457539
193	0.8189745943	3186.663817
194	0.8191521712	3185.100454
195	0.8192323511	3184.39431
196	0.819397122	3182.942681
197	0.8195072176	3181.972371
198	0.8195919854	3181.225083
199	0.8197784674	3179.580492
200	0.8199029525	3178.48218
201	0.8200160356	3177.484138
202	0.820167946	3176.142922
203	0.8202738393	3175.207655
204	0.8203753301	3174.311014
205	0.8205648073	3172.63636
206	0.8206691011	3171.714204
207	0.8208050369	3170.511871
208	0.8209212957	3169.483215
209	0.8210529656	3168.317799
210	0.8212312903	3166.738756
211	0.8213343869	3165.825489
212	0.8213969203	3165.271417
213	0.8214791447	3164.542727
214	0.821582953	3163.622517
215	0.8216992474	3162.591305
216	0.8217800331	3161.87476
217	0.821986767	3160.040351
218	0.8221451103	3158.634606
219	0.8223231335	3157.053399
220	0.8224673189	3155.772158
221	0.8225551795	3154.991169
222	0.8226602106	3154.057298
223	0.8227449291	3153.303832
224	0.8228132611	3152.695973
225	0.8229711852	3151.290682
226	0.8230176226	3150.877339
227	0.8231358995	3149.824301
228	0.8232272289	3149.01094
229	0.8233673151	3147.762952
230	0.8234983827	3146.594861
231	0.8236602519	3145.151663
232	0.8237278741	3144.548559
233	0.8237986918	3143.916831
234	0.8239395576	3142.659862
235	0.8240906279	3141.311279
236	0.8241352175	3140.913123
237	0.8242420585	3139.958898
238	0.8243152012	3139.305473
239	0.8244301744	3138.278079
240	0.8245047684	3137.611331
241	0.8245875313	3136.871401
242	0.8247031986	3135.837001
243	0.8247468386	3135.446645
244	0.8248780396	3134.272769
245	0.8249946574	3133.229003
246	0.8250626546	3132.620246
247	0.8251750876	3131.61341
248	0.8253245016	3130.274908
249	0.8253606998	3129.950546
250	0.8253658862	3129.90407
251	0.8254237021	3129.385919
252	0.8255676021	3128.095907
253	0.8256922821	3126.977764
254	0.8257869921	3126.128128
255	0.8258740942	3125.346537
256	0.8260276561	3123.96811
257	0.826125754	3123.087228
258	0.8262268219	3122.179418
259	0.8263553058	3121.02497
260	0.8264342178	3120.315722
